language,script,videoEmbed,videoCaption,bibleLink,bibleText,fullFilmLink,fullFilmText,questionsLink,country,readingLanguage
Kurmanji Standard,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/kurmanji-standard.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/251/LUK.6.27-49.KURNT,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/kurmanji-standard.html,Watch the complete JESUS film from the beginning,https://www.tanriyitanimak.com/,Turkey,Turkish
Lampung Nyo,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/lampung-nyo.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/199/LUK.6.27-49.AMD,Read the above story in the Indonesian Bible,https://www.jesusfilm.org/watch/jesus.html/lampung-nyo.html,Watch the complete JESUS film from the beginning,https://www.mahasiswakeren.com/,Indonesia,
"Limba, Tonko-Sella",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/limba-tonko-sella.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/limba-tonko-sella.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Sierra Leone,English taught in schools
Mangalorean Konkani,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/mangalorean-konkani.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1866/LUK.6.27-49.KONKANIBSI,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/mangalorean-konkani.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,India,English
"Mbembe, Tigon",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/mbembe-tigon.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/mbembe-tigon.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Cameroon,English and French taught in schools
"Pashto, Yusufzai (Northern)",پښتو، شمالی,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/pashto-yusufzai.html,یِسُوع کی فلم سے یہ  چھوٹا  کلپ دیکھیں,https://www.bible.com/bible/187/LUK.6.27-49.UGV,بائبل میں اس کہانی کو  پڑھیں,https://www.jesusfilm.org/watch/jesus.html/pashto-yusufzai.html,"پر پوری ""یِسُوع"" فلم دیکھیں",https://www.zindagikaysawalat.com/,Pakistan,Urdu
Samarkand Tajik,Самарканди точик,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/samarkand-tajik.html,"Отрывок из фильма ""Иисуса"" (3 мин)",https://www.bible.com/bible/1999/LUK.6.27-49.%D0%A1%D0%A0%D0%9F-2,Прочтите эту историю в Библии,https://www.jesusfilm.org/watch/jesus.html/samarkand-tajik.html,"Посмотрите весь фильм ""ИИСУС"" на YouTube.",https://www.mirstudentov.com/,Uzbekistan,Russian?
Tachelhit,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/tachelhit.html,"شاهد مقطع فيديو من فيلم ""يسوع"" (٣ دقائق)",https://www.bible.com/ar/bible/101/LUK.6.27-49.KEH,إقرأ هذه القصة في الكتاب المقدس,https://www.jesusfilm.org/watch/jesus.html/tachelhit.html,"شاهد فيلم ""يسوع"" كاملاً علي يوتيوب",https://www.everyarabstudent.com/,,"Arabic, Modern Standard"
Tajik,тоҷикӣ,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/tajik.html,"Отрывок из фильма ""Иисуса"" (3 мин)",https://www.bible.com/bible/1999/LUK.6.27-49.%D0%A1%D0%A0%D0%9F-2,Прочтите эту историю в Библии,https://www.jesusfilm.org/watch/jesus.html/tajik.html,"Посмотрите весь фильм ""ИИСУС"" на YouTube.",https://www.mirstudentov.com/,Tajikistan,Russian?
"Tamasheq, Kidal",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/tamasheq-kidal.html,"شاهد مقطع فيديو من فيلم ""يسوع"" (٣ دقائق)",https://www.bible.com/ar/bible/101/LUK.6.27-49.KEH,إقرأ هذه القصة في الكتاب المقدس,https://www.jesusfilm.org/watch/jesus.html/tamasheq-kidal.html,"شاهد فيلم ""يسوع"" كاملاً علي يوتيوب",https://www.everyarabstudent.com/,,"Arabic, Modern Standard"
"Uzbek, Southern",اۉزبېک، جنوبی,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/uzbek-southern.html,Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1730/LUK.6.27-49.UZB,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/uzbek-southern.html,Watch the complete JESUS film from the beginning,https://www.studentstan.com/,Afghanistan,Uzbek
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
from language tab,,from language tab,from language tab,C:110,E:13,C:124,E:11,C:130,,
